d1 d2 d3
3.20000005 4.00000000 8.00000000
3.59999990 4.80000019 3.20000005
2.79999995 4.00000000 6.40000010
3.59999990 1.60000002 4.80000019
2.40000010 3.20000005 4.80000019
2.79999995 3.20000005 4.80000019
3.20000005 4.00000000 0.00000000
2.79999995 3.20000005 3.20000005
2.79999995 4.80000019 6.40000010
3.59999990 4.00000000 6.40000010
3.59999990 4.00000000 4.80000019
2.79999995 4.80000019 4.80000019
2.79999995 3.20000005 4.80000019
3.20000005 3.20000005 3.20000005
3.59999990 4.80000019 4.80000019
2.40000010 4.00000000 9.60000038
3.20000005 4.80000019 3.20000005
3.20000005 .800000012 6.40000010
2.79999995 3.20000005 4.80000019
3.59999990 3.20000005 3.20000005
3.20000005 2.40000010 4.80000019
3.20000005 5.59999990 3.20000005
2.79999995 4.80000019 11.1999998
2.79999995 4.00000000 6.40000010
3.59999990 3.20000005 8.00000000
2.79999995 4.00000000 8.00000000
2.79999995 6.40000010 1.60000002
2.79999995 5.59999990 9.60000038
2.79999995 4.80000019 6.40000010
3.20000005 1.60000002 9.60000038
2.79999995 4.00000000 6.40000010
2.79999995 4.80000019 4.80000019
3.20000005 4.00000000 4.80000019
3.59999990 5.59999990 3.20000005
3.59999990 5.59999990 3.20000005
3.20000005 4.00000000 6.40000010
4.00000000 6.40000010 4.80000019
3.20000005 4.80000019 1.60000002
3.20000005 7.19999981 3.20000005
3.59999990 4.80000019 6.40000010
3.59999990 3.20000005 6.40000010
2.79999995 4.00000000 4.80000019
3.20000005 4.80000019 6.40000010
3.59999990 4.80000019 6.40000010
3.20000005 4.80000019 8.00000000
2.79999995 4.00000000 6.40000010
2.40000010 1.60000002 8.00000000
4.00000000 2.40000010 4.80000019
2.79999995 4.80000019 4.80000019
3.59999990 4.80000019 4.80000019
3.59999990 3.20000005 3.20000005
3.20000005 3.20000005 3.20000005
2.00000000 4.80000019 4.80000019
2.79999995 5.59999990 3.20000005
3.59999990 4.80000019 6.40000010
2.79999995 4.80000019 3.20000005
3.59999990 2.40000010 3.20000005
3.59999990 3.20000005 3.20000005
3.20000005 4.00000000 8.00000000
2.79999995 3.20000005 6.40000010
2.79999995 4.00000000 1.60000002
3.59999990 2.40000010 4.80000019
2.00000000 7.19999981 3.20000005
3.59999990 4.00000000 4.80000019
3.59999990 4.00000000 8.00000000
2.79999995 7.19999981 4.80000019
3.20000005 4.00000000 1.60000002
2.79999995 4.80000019 8.00000000
3.59999990 6.40000010 4.80000019
3.59999990 5.59999990 3.20000005
3.59999990 5.59999990 9.60000038
3.59999990 4.80000019 3.20000005
2.79999995 4.80000019 4.80000019
2.40000010 4.00000000 6.40000010
4.00000000 5.59999990 8.00000000
2.79999995 5.59999990 4.80000019
3.59999990 6.40000010 4.80000019
3.59999990 5.59999990 6.40000010
1.20000005 4.00000000 4.80000019
2.40000010 6.40000010 8.00000000
2.79999995 3.20000005 6.40000010
2.79999995 7.19999981 6.40000010
2.00000000 4.00000000 3.20000005
3.59999990 4.80000019 4.80000019
3.59999990 4.00000000 3.20000005
1.60000002 5.59999990 4.80000019
3.20000005 4.80000019 6.40000010
3.59999990 4.80000019 3.20000005
3.20000005 3.20000005 3.20000005
2.79999995 3.20000005 4.80000019
2.79999995 4.00000000 3.20000005
3.59999990 4.00000000 1.60000002
2.79999995 3.20000005 3.20000005
4.00000000 4.00000000 3.20000005
3.20000005 5.59999990 8.00000000
3.20000005 4.00000000 3.20000005
2.79999995 4.00000000 1.60000002
2.79999995 .800000012 4.80000019
3.20000005 4.80000019 3.20000005
3.59999990 1.60000002 6.40000010
3.20000005 4.00000000 9.60000038
3.20000005 5.59999990 6.40000010
3.20000005 6.40000010 3.20000005
4.00000000 3.20000005 4.80000019
3.20000005 4.00000000 8.00000000
3.59999990 4.80000019 3.20000005
2.79999995 4.00000000 6.40000010
4.00000000 4.80000019 3.20000005
3.20000005 4.00000000 4.80000019
3.20000005 4.80000019 4.80000019
3.20000005 4.00000000 8.00000000
3.59999990 4.80000019 8.00000000
3.20000005 4.80000019 4.80000019
3.20000005 3.20000005 4.80000019
2.79999995 4.00000000 4.80000019
1.60000002 5.59999990 9.60000038
3.20000005 .800000012 8.00000000
2.40000010 4.80000019 8.00000000
2.40000010 4.00000000 4.80000019
3.20000005 5.59999990 3.20000005
2.79999995 2.40000010 3.20000005
3.20000005 4.00000000 3.20000005
2.00000000 4.80000019 1.60000002
3.59999990 5.59999990 3.20000005
2.79999995 5.59999990 3.20000005
4.00000000 4.00000000 8.00000000
1.60000002 3.20000005 1.60000002
2.40000010 2.40000010 3.20000005
3.59999990 6.40000010 6.40000010
3.59999990 3.20000005 8.00000000
3.59999990 4.00000000 3.20000005
2.79999995 6.40000010 3.20000005
3.59999990 4.80000019 4.80000019
2.40000010 4.00000000 4.80000019
3.20000005 4.80000019 8.00000000
4.00000000 6.40000010 4.80000019
4.00000000 4.00000000 6.40000010
2.79999995 4.00000000 8.00000000
2.79999995 4.80000019 9.60000038
3.20000005 6.40000010 8.00000000
3.20000005 4.80000019 6.40000010
4.00000000 4.80000019 6.40000010
2.79999995 4.80000019 6.40000010
3.20000005 4.80000019 1.60000002
2.79999995 2.40000010 8.00000000
3.20000005 4.00000000 1.60000002
3.59999990 4.00000000 3.20000005
3.59999990 5.59999990 8.00000000
3.20000005 3.20000005 4.80000019
3.20000005 2.40000010 6.40000010
3.59999990 5.59999990 6.40000010
2.79999995 4.00000000 0.00000000
3.59999990 3.20000005 4.80000019
2.00000000 4.80000019 1.60000002
3.20000005 4.00000000 8.00000000
3.59999990 6.40000010 3.20000005
3.59999990 4.80000019 1.60000002
3.59999990 4.80000019 4.80000019
3.20000005 4.00000000 4.80000019
4.00000000 5.59999990 8.00000000
3.20000005 4.00000000 3.20000005
2.79999995 4.00000000 6.40000010
2.79999995 4.80000019 3.20000005
3.59999990 3.20000005 9.60000038
3.59999990 4.80000019 3.20000005
3.59999990 5.59999990 8.00000000
3.59999990 4.80000019 4.80000019
2.79999995 5.59999990 4.80000019
2.40000010 5.59999990 4.80000019
3.20000005 3.20000005 3.20000005
3.20000005 4.80000019 3.20000005
2.40000010 3.20000005 3.20000005
3.20000005 3.20000005 3.20000005
3.59999990 6.40000010 4.80000019
3.20000005 2.40000010 6.40000010
3.59999990 4.00000000 4.80000019
3.59999990 6.40000010 1.60000002
3.20000005 3.20000005 4.80000019
2.79999995 3.20000005 8.00000000
3.59999990 7.19999981 4.80000019
2.00000000 1.60000002 6.40000010
2.00000000 3.20000005 8.00000000
3.59999990 4.00000000 4.80000019
3.59999990 6.40000010 9.60000038
2.79999995 4.80000019 4.80000019
3.59999990 4.80000019 6.40000010
2.79999995 5.59999990 6.40000010
2.40000010 4.00000000 3.20000005
3.20000005 4.00000000 8.00000000
3.59999990 1.60000002 3.20000005
2.00000000 3.20000005 3.20000005
3.20000005 4.00000000 8.00000000
2.79999995 4.80000019 6.40000010
2.79999995 5.59999990 8.00000000
3.59999990 4.00000000 6.40000010
2.79999995 3.20000005 6.40000010
2.79999995 1.60000002 4.80000019
2.79999995 4.80000019 6.40000010
3.59999990 2.40000010 6.40000010
2.40000010 4.80000019 8.00000000
2.79999995 3.20000005 3.20000005
3.20000005 2.40000010 4.80000019
2.79999995 4.80000019 4.80000019
2.79999995 4.80000019 3.20000005
2.79999995 6.40000010 11.1999998
2.40000010 4.00000000 6.40000010
2.79999995 4.00000000 8.00000000
2.40000010 4.00000000 1.60000002
3.20000005 1.60000002 3.20000005
2.00000000 3.20000005 9.60000038
2.00000000 4.80000019 3.20000005
3.20000005 2.40000010 11.1999998
2.79999995 2.40000010 3.20000005
3.20000005 4.00000000 1.60000002
3.59999990 4.80000019 8.00000000
3.59999990 4.00000000 4.80000019
3.20000005 4.80000019 9.60000038
2.79999995 4.00000000 4.80000019
2.40000010 4.00000000 8.00000000
2.40000010 3.20000005 3.20000005
3.59999990 4.00000000 6.40000010
3.20000005 3.20000005 4.80000019
3.59999990 5.59999990 1.60000002
3.20000005 4.00000000 3.20000005
3.20000005 6.40000010 6.40000010
1.60000002 4.80000019 6.40000010
2.79999995 5.59999990 3.20000005
3.59999990 2.40000010 4.80000019
3.59999990 2.40000010 4.80000019
3.20000005 3.20000005 3.20000005
3.20000005 2.40000010 4.80000019
3.59999990 4.00000000 4.80000019
2.79999995 7.19999981 1.60000002
3.20000005 3.20000005 4.80000019
3.20000005 4.80000019 4.80000019
3.20000005 3.20000005 1.60000002
3.59999990 3.20000005 4.80000019
3.59999990 4.80000019 4.80000019
3.20000005 4.00000000 3.20000005
3.20000005 4.00000000 4.80000019
4.00000000 6.40000010 3.20000005
3.59999990 6.40000010 6.40000010
3.20000005 3.20000005 1.60000002
3.20000005 4.00000000 6.40000010
3.20000005 4.00000000 6.40000010
2.40000010 5.59999990 9.60000038
2.79999995 4.80000019 4.80000019
3.59999990 2.40000010 6.40000010
2.79999995 3.20000005 3.20000005
2.79999995 4.80000019 6.40000010
2.79999995 5.59999990 9.60000038
3.59999990 4.80000019 3.20000005
3.59999990 1.60000002 6.40000010
2.79999995 3.20000005 1.60000002
3.20000005 4.00000000 3.20000005
3.20000005 3.20000005 4.80000019
2.79999995 4.00000000 4.80000019
4.00000000 4.80000019 3.20000005
3.20000005 6.40000010 4.80000019
4.00000000 7.19999981 3.20000005
3.20000005 4.00000000 1.60000002
2.79999995 4.00000000 3.20000005
3.59999990 4.80000019 0.00000000
2.79999995 4.00000000 8.00000000
3.59999990 4.80000019 4.80000019
2.40000010 5.59999990 6.40000010
3.20000005 4.80000019 1.60000002
3.59999990 3.20000005 8.00000000
2.79999995 2.40000010 1.60000002
3.59999990 4.80000019 4.80000019
4.00000000 1.60000002 3.20000005
3.59999990 2.40000010 4.80000019
3.20000005 4.80000019 4.80000019
3.59999990 6.40000010 3.20000005
3.20000005 1.60000002 1.60000002
3.20000005 7.19999981 4.80000019
2.00000000 5.59999990 8.00000000
3.20000005 6.40000010 4.80000019
2.79999995 3.20000005 4.80000019
3.20000005 4.80000019 8.00000000
2.79999995 3.20000005 3.20000005
3.20000005 5.59999990 6.40000010
2.40000010 6.40000010 4.80000019
3.20000005 2.40000010 1.60000002
2.79999995 4.00000000 3.20000005
3.20000005 4.00000000 4.80000019
2.79999995 4.00000000 1.60000002
3.20000005 4.80000019 6.40000010
4.00000000 3.20000005 1.60000002
3.59999990 4.00000000 8.00000000
3.20000005 3.20000005 1.60000002
3.59999990 5.59999990 11.1999998
3.20000005 4.80000019 4.80000019
2.79999995 4.00000000 4.80000019
2.40000010 2.40000010 3.20000005
3.20000005 2.40000010 4.80000019
4.00000000 3.20000005 4.80000019
3.59999990 3.20000005 3.20000005
2.40000010 5.59999990 6.40000010
4.00000000 3.20000005 6.40000010
4.00000000 4.80000019 1.60000002
2.79999995 4.00000000 3.20000005
2.79999995 4.80000019 9.60000038
3.20000005 4.00000000 1.60000002
2.00000000 3.20000005 6.40000010
4.00000000 4.00000000 8.00000000
3.59999990 4.00000000 4.80000019
2.79999995 5.59999990 6.40000010
3.20000005 3.20000005 6.40000010
2.79999995 4.80000019 6.40000010
2.79999995 4.00000000 1.60000002
2.40000010 5.59999990 6.40000010
3.20000005 4.80000019 4.80000019
4.00000000 4.00000000 4.80000019
3.59999990 2.40000010 8.00000000
3.59999990 4.00000000 3.20000005
3.59999990 5.59999990 1.60000002
4.00000000 4.80000019 6.40000010
3.59999990 3.20000005 3.20000005
2.79999995 4.00000000 3.20000005
3.20000005 2.40000010 6.40000010
2.79999995 5.59999990 8.00000000
3.59999990 3.20000005 6.40000010
3.20000005 4.80000019 3.20000005
3.20000005 5.59999990 9.60000038
3.59999990 4.80000019 4.80000019
4.00000000 4.80000019 4.80000019
3.20000005 4.80000019 8.00000000
2.79999995 3.20000005 1.60000002
3.59999990 4.00000000 3.20000005
3.59999990 4.80000019 4.80000019
3.20000005 2.40000010 3.20000005
3.20000005 2.40000010 1.60000002
2.79999995 4.00000000 11.1999998
3.59999990 5.59999990 6.40000010
3.20000005 3.20000005 3.20000005
3.20000005 6.40000010 4.80000019
4.00000000 5.59999990 3.20000005
2.40000010 4.80000019 4.80000019
2.79999995 7.19999981 3.20000005
3.20000005 4.80000019 4.80000019
3.59999990 3.20000005 4.80000019
2.79999995 4.00000000 4.80000019
3.20000005 3.20000005 3.20000005
3.20000005 4.00000000 1.60000002
3.20000005 4.80000019 3.20000005
3.20000005 3.20000005 6.40000010
3.59999990 4.00000000 1.60000002
3.20000005 4.80000019 6.40000010
2.79999995 4.00000000 8.00000000
3.20000005 4.80000019 4.80000019
3.59999990 1.60000002 1.60000002
2.79999995 4.00000000 6.40000010
3.59999990 4.80000019 3.20000005
1.60000002 1.60000002 3.20000005
3.20000005 3.20000005 6.40000010
3.59999990 4.00000000 8.00000000
3.59999990 6.40000010 6.40000010
2.79999995 4.80000019 3.20000005
2.40000010 2.40000010 3.20000005
3.59999990 6.40000010 1.60000002
3.20000005 4.00000000 3.20000005
3.20000005 2.40000010 4.80000019
3.59999990 3.20000005 4.80000019
3.20000005 5.59999990 4.80000019
3.20000005 4.80000019 4.80000019
3.20000005 2.40000010 3.20000005
3.59999990 4.80000019 3.20000005
4.00000000 5.59999990 9.60000038
3.20000005 3.20000005 6.40000010
3.20000005 4.80000019 0.00000000
3.59999990 6.40000010 4.80000019
2.00000000 4.00000000 3.20000005
4.00000000 7.19999981 8.00000000
3.20000005 4.80000019 6.40000010
3.20000005 4.80000019 4.80000019
3.20000005 4.00000000 6.40000010
3.59999990 2.40000010 3.20000005
3.59999990 4.00000000 3.20000005
2.40000010 4.00000000 4.80000019
2.79999995 4.80000019 8.00000000
1.60000002 6.40000010 8.00000000
4.00000000 3.20000005 4.80000019
3.59999990 4.00000000 8.00000000
3.59999990 6.40000010 3.20000005
3.59999990 1.60000002 6.40000010
3.20000005 5.59999990 8.00000000
3.20000005 5.59999990 3.20000005
4.00000000 1.60000002 6.40000010
2.40000010 7.19999981 11.1999998
3.20000005 3.20000005 4.80000019
3.20000005 6.40000010 6.40000010
2.40000010 6.40000010 3.20000005
3.59999990 4.80000019 8.00000000
4.00000000 5.59999990 0.00000000
3.59999990 4.80000019 6.40000010
2.79999995 4.00000000 3.20000005
4.00000000 5.59999990 0.00000000
3.20000005 7.19999981 8.00000000
3.20000005 4.80000019 8.00000000
3.20000005 5.59999990 6.40000010
2.79999995 6.40000010 4.80000019
2.40000010 4.80000019 3.20000005
2.79999995 4.00000000 4.80000019
2.00000000 2.40000010 6.40000010
2.79999995 4.00000000 4.80000019
2.79999995 4.00000000 3.20000005
3.20000005 3.20000005 1.60000002
3.20000005 4.00000000 3.20000005
3.20000005 2.40000010 4.80000019
3.59999990 4.80000019 8.00000000
3.59999990 4.00000000 8.00000000
3.59999990 4.00000000 6.40000010
2.79999995 4.00000000 3.20000005
2.00000000 5.59999990 8.00000000
2.79999995 3.20000005 9.60000038
4.00000000 3.20000005 4.80000019
3.59999990 2.40000010 8.00000000
3.20000005 3.20000005 1.60000002
3.59999990 4.80000019 8.00000000
4.00000000 4.00000000 3.20000005
4.00000000 6.40000010 6.40000010
3.20000005 3.20000005 3.20000005
2.40000010 4.80000019 4.80000019
3.59999990 4.80000019 6.40000010
3.59999990 4.80000019 3.20000005
3.20000005 5.59999990 6.40000010
3.20000005 4.80000019 8.00000000
4.00000000 3.20000005 8.00000000
3.20000005 3.20000005 8.00000000
3.59999990 4.00000000 3.20000005
3.20000005 5.59999990 4.80000019
2.79999995 6.40000010 3.20000005
3.59999990 4.80000019 6.40000010
3.59999990 2.40000010 3.20000005
3.20000005 3.20000005 6.40000010
4.00000000 4.00000000 8.00000000
2.40000010 6.40000010 6.40000010
3.59999990 1.60000002 6.40000010
3.59999990 4.00000000 1.60000002
3.59999990 3.20000005 3.20000005
3.59999990 4.00000000 4.80000019
2.40000010 4.00000000 4.80000019
2.79999995 4.80000019 6.40000010
3.20000005 1.60000002 6.40000010
2.79999995 4.00000000 4.80000019
2.40000010 5.59999990 6.40000010
3.20000005 5.59999990 3.20000005
3.59999990 2.40000010 3.20000005
3.59999990 3.20000005 8.00000000
2.40000010 3.20000005 3.20000005
3.59999990 5.59999990 3.20000005
3.20000005 5.59999990 3.20000005
2.40000010 4.00000000 6.40000010
2.79999995 5.59999990 11.1999998
3.59999990 4.00000000 4.80000019
2.79999995 4.00000000 3.20000005
3.20000005 3.20000005 4.80000019
3.20000005 4.80000019 3.20000005
2.40000010 3.20000005 3.20000005
2.79999995 4.80000019 1.60000002
3.59999990 4.80000019 8.00000000
2.79999995 4.00000000 4.80000019
3.20000005 4.80000019 1.60000002
3.59999990 4.80000019 4.80000019
3.59999990 4.00000000 3.20000005
3.20000005 5.59999990 6.40000010
2.79999995 4.00000000 6.40000010
4.00000000 5.59999990 4.80000019
3.20000005 4.00000000 6.40000010
3.59999990 1.60000002 6.40000010
2.40000010 2.40000010 3.20000005
2.40000010 2.40000010 6.40000010
3.59999990 4.80000019 4.80000019
3.59999990 4.80000019 6.40000010
3.59999990 5.59999990 6.40000010
2.00000000 3.20000005 3.20000005
3.20000005 4.80000019 1.60000002
3.20000005 4.80000019 3.20000005
2.79999995 3.20000005 6.40000010
4.00000000 2.40000010 6.40000010
2.79999995 4.80000019 0.00000000
3.20000005 5.59999990 3.20000005
3.20000005 4.80000019 11.1999998
2.79999995 4.80000019 3.20000005
2.40000010 2.40000010 4.80000019
3.20000005 4.00000000 3.20000005
3.59999990 4.00000000 3.20000005
3.59999990 5.59999990 4.80000019
3.59999990 4.00000000 4.80000019
3.59999990 4.80000019 6.40000010
3.20000005 5.59999990 4.80000019
4.00000000 5.59999990 3.20000005
3.59999990 4.00000000 3.20000005
3.59999990 4.00000000 9.60000038
3.59999990 4.00000000 6.40000010
3.20000005 4.80000019 8.00000000
2.79999995 4.00000000 9.60000038
2.40000010 5.59999990 8.00000000
3.59999990 4.80000019 9.60000038
3.59999990 3.20000005 8.00000000
2.79999995 4.80000019 4.80000019
3.59999990 3.20000005 1.60000002
3.59999990 4.00000000 4.80000019
4.00000000 5.59999990 4.80000019
3.20000005 3.20000005 4.80000019
2.40000010 4.80000019 6.40000010
3.20000005 4.00000000 6.40000010
3.59999990 4.80000019 6.40000010
2.00000000 3.20000005 4.80000019
2.40000010 6.40000010 4.80000019
3.20000005 4.80000019 4.80000019
3.59999990 4.80000019 6.40000010
2.79999995 3.20000005 6.40000010
3.59999990 4.80000019 3.20000005
3.20000005 4.00000000 11.1999998
3.20000005 2.40000010 1.60000002
3.59999990 4.00000000 4.80000019
2.40000010 .800000012 3.20000005
3.59999990 3.20000005 3.20000005
2.79999995 2.40000010 6.40000010
3.20000005 5.59999990 4.80000019
2.00000000 4.80000019 9.60000038
3.59999990 3.20000005 6.40000010
3.59999990 4.00000000 6.40000010
3.59999990 4.00000000 9.60000038
4.00000000 5.59999990 8.00000000
3.59999990 2.40000010 3.20000005
4.00000000 2.40000010 8.00000000
3.59999990 3.20000005 3.20000005
3.20000005 3.20000005 6.40000010
3.20000005 5.59999990 9.60000038
3.20000005 5.59999990 6.40000010
3.20000005 2.40000010 6.40000010
4.00000000 4.80000019 3.20000005
2.79999995 4.00000000 3.20000005
4.00000000 1.60000002 8.00000000
2.79999995 3.20000005 6.40000010
2.40000010 4.00000000 0.00000000
2.79999995 4.00000000 4.80000019
3.20000005 1.60000002 4.80000019
3.20000005 4.80000019 4.80000019
2.79999995 5.59999990 4.80000019
2.79999995 4.00000000 4.80000019
3.59999990 6.40000010 6.40000010
4.00000000 4.80000019 0.00000000
2.40000010 4.80000019 4.80000019
3.20000005 4.00000000 4.80000019
3.59999990 5.59999990 1.60000002
2.40000010 4.80000019 3.20000005
3.59999990 4.80000019 3.20000005
3.59999990 3.20000005 8.00000000
3.59999990 4.00000000 6.40000010
2.40000010 4.80000019 1.60000002
3.20000005 6.40000010 3.20000005
3.59999990 4.80000019 8.00000000
3.20000005 4.00000000 3.20000005
3.20000005 7.19999981 1.60000002
2.79999995 3.20000005 4.80000019
3.20000005 4.00000000 3.20000005
2.79999995 4.80000019 9.60000038
2.40000010 3.20000005 6.40000010
3.20000005 2.40000010 4.80000019
3.20000005 4.00000000 6.40000010
2.79999995 3.20000005 6.40000010
3.20000005 6.40000010 0.00000000
3.20000005 2.40000010 3.20000005
3.20000005 4.00000000 4.80000019
4.00000000 1.60000002 9.60000038
2.79999995 1.60000002 6.40000010
3.20000005 3.20000005 6.40000010
3.20000005 4.80000019 6.40000010
3.59999990 3.20000005 6.40000010
4.00000000 4.80000019 3.20000005
3.20000005 5.59999990 1.60000002
3.59999990 1.60000002 1.60000002
4.00000000 2.40000010 4.80000019
3.20000005 6.40000010 4.80000019
3.59999990 5.59999990 1.60000002
2.40000010 4.80000019 6.40000010
2.79999995 6.40000010 6.40000010
3.20000005 3.20000005 8.00000000
3.59999990 3.20000005 1.60000002
3.20000005 4.00000000 3.20000005
2.79999995 4.80000019 4.80000019
3.59999990 4.80000019 6.40000010
3.59999990 6.40000010 4.80000019
2.79999995 4.00000000 1.60000002
3.59999990 4.00000000 3.20000005
3.20000005 5.59999990 8.00000000
2.79999995 4.00000000 4.80000019
2.00000000 5.59999990 4.80000019
2.79999995 2.40000010 8.00000000
3.20000005 4.00000000 3.20000005
3.20000005 3.20000005 4.80000019
4.00000000 4.80000019 3.20000005
3.20000005 4.80000019 6.40000010
2.40000010 4.80000019 4.80000019
3.59999990 3.20000005 4.80000019
3.59999990 4.00000000 4.80000019
2.40000010 3.20000005 1.60000002
3.59999990 4.00000000 4.80000019
3.20000005 2.40000010 1.60000002
3.20000005 6.40000010 4.80000019
3.20000005 3.20000005 0.00000000
2.40000010 2.40000010 8.00000000
2.79999995 4.00000000 3.20000005
4.00000000 4.00000000 3.20000005
3.20000005 6.40000010 6.40000010
3.20000005 5.59999990 8.00000000
3.20000005 4.00000000 6.40000010
3.20000005 4.00000000 6.40000010
2.79999995 6.40000010 9.60000038
3.59999990 4.00000000 6.40000010
4.00000000 4.80000019 4.80000019
2.40000010 3.20000005 8.00000000
3.59999990 4.00000000 3.20000005
2.79999995 2.40000010 3.20000005
3.59999990 3.20000005 11.1999998
3.59999990 4.80000019 3.20000005
4.00000000 4.80000019 6.40000010
3.20000005 7.19999981 8.00000000
4.00000000 6.40000010 4.80000019
3.20000005 4.80000019 0.00000000
3.20000005 5.59999990 4.80000019
3.59999990 6.40000010 9.60000038
3.20000005 4.80000019 3.20000005
3.20000005 3.20000005 1.60000002
3.59999990 3.20000005 9.60000038
3.59999990 4.80000019 4.80000019
3.20000005 6.40000010 1.60000002
4.00000000 3.20000005 3.20000005
3.59999990 5.59999990 4.80000019
2.40000010 1.60000002 1.60000002
2.79999995 4.00000000 4.80000019
